,0
1575,0001825497
1576,0000772406
1577,0000874866
1578,0001626971
1579,0001535527
1580,0000025895
1581,0001817944
1582,0001844635
1583,0001159510
1584,0001430162
1585,0000771856
1586,0000858877
1587,0001747661
1588,0001209466
1589,0001057352
1590,0001005757
1591,0001180145
1592,0001375877
1593,0000790051
1594,0001875493
1595,0000356037
1596,0001275214
1597,0000798359
1598,0001679063
1599,0001834032
1600,0001504379
1601,0001447362
1602,0001563411
1603,0001676479
1604,0001016281
1605,0000017313
1606,0001624794
1607,0000277948
1608,0000030554
1609,0001823634
1610,0000723254
1611,0000068622
1612,0000350852
1613,0001011432
1614,0000023111
1615,0001502377
1616,0001015155
1617,0001042187
1618,0000891293
1619,0001734262
1620,0001831915
1621,0000896429
1622,0001596783
1623,0001501989
1624,0000023795
1625,0001709682
1626,0001547341
1627,0000858470
1628,0001590717
1629,0001720161
1630,0001318484
1631,0000026058
1632,0001058290
1633,0001175151
1634,0001341141
1635,0001835378
1636,0001755672
1637,0001506251
1638,0000877890
1639,0000880406
1640,0001488813
1641,0001298675
1642,0001645460
1643,0001424657
1644,0001125259
1645,0001845799
1646,0000723603
1647,0001776909
1648,0001711291
1649,0001792781
1650,0001162461
1651,0000025232
1652,0001809122
1653,0000354647
1654,0000278166
1655,0001127371
1656,0001475260
1657,0001590584
1658,0001752836
1659,0001290900
1660,0001133470
1661,0001376139
1662,0001828248
1663,0000928658
1664,0001169561
1665,0000806279
1666,0000725363
1667,0001690820
1668,0000019871
1669,0001235912
1670,0000064803
1671,0001827075
1672,0000889348
1673,0000766792
1674,0000093410
1675,0000026324
1676,0001866368
1677,0001051343
1678,0001522602
1679,0000928340
1680,0001567683
1681,0001669779
1682,0001168164
1683,0001628369
1684,0000911177
1685,0001035201
1686,0001076378
1687,0001856242
1688,0001075736
1689,0000845606
1690,0000847411
1691,0001569345
1692,0001070985
1693,0001637890
1694,0000768408
1695,0001409833
1696,0000768411
1697,0001833141
1698,0001598110
1699,0001130166
1700,0001755237
1701,0000932695
1702,0001108109
1703,0001874097
1704,0001084577
1705,0001124524
1706,0001662244
1707,0000922247
1708,0001061983
1709,0001601936
1710,0001794905
1711,0000810958
1712,0001859639
1713,0001590895
1714,0001367859
1715,0000715957
1716,0001369241
1717,0001793862
1718,0000351998
1719,0000915779
1720,0000027904
1721,0001413898
1722,0001863294
1723,0000026780
1724,0001781753
1725,0001870471
1726,0000916540
1727,0001401914
1728,0001792789
1729,0001648960
1730,0001656081
1731,0001841408
1732,0001845337
1733,0001159508
1734,0001383082
1735,0001383084
1736,0001328237
1737,0000028823
1738,0001383062
1739,0001503123
1740,0001668010
1741,0001319947
1742,0001525201
1743,0001383058
1744,0001383057
1745,0001679688
1746,0001383054
1747,0001656536
1748,0001354730
1749,0001613780
1750,0001467623
1751,0001829959
1752,0001627854
1753,0001862490
1754,0001822359
1755,0000029644
1756,0000030305
1757,0000846617
1758,0001338065
1759,0001654151
1760,0001848959
1761,0001160951
1762,0000872912
1763,0001666700
1764,0000910638
1765,0000896923
1766,0001799567
1767,0001854545
1768,0001561550
1769,0000028917
1770,0000315189
1771,0001622194
1772,0000910521
1773,0001364250
1774,0001571996
1775,0000945764
1776,0000852772
1777,0000835403
1778,0001867066
1779,0001703141
1780,0001396167
1781,0001053691
1782,0001825088
1783,0001669811
1784,0001559991
1785,0001393612
1786,0000029534
1787,0001854368
1788,0000800457
1789,0000854775
1790,0001383055
1791,0001342958
1792,0001827076
1793,0001021249
1794,0001022079
1795,0001861795
1796,0001864531
1797,0001838176
1798,0001075415
1799,0001838163
1800,0001057861
1801,0001830188
1802,0000882184
1803,0000909108
1804,0000313616
1805,0001331284
1806,0001393883
1807,0001061353
1808,0001041130
1809,0001608742
1810,0001600641
1811,0001645569
1812,0001764757
1813,0001843608
1814,0000049754
1815,0001915657
1816,0000029002
1817,0001744489
1818,0001838831
1819,0001024333
1820,0001437107
1821,0001001082
1822,0000928465
1823,0000783412
1824,0001694426
1825,0001552797
1826,0001772757
1827,0001089063
1828,0001101396
1829,0001308547
1830,0001831928
1831,0000785557
1832,0001578453
1833,0001846832
1834,0001282224
1835,0001297996
1836,0001649744
1837,0000935703
1838,0000027996
1839,0001788399
1840,0001754820
1841,0001523289
1842,0001401040
1843,0001857086
1844,0001565381
1845,0000839122
1846,0001172358
1847,0001478102
1848,0001438231
1849,0001725134
1850,0001651944
1851,0001858327
1852,0001830214
1853,0001850266
1854,0001850271
1855,0001850270
1856,0001850272
1857,0001850079
1858,0001799208
1859,0001714899
1860,0001779020
1861,0001063259
1862,0001599617
1863,0000806628
1864,0001857154
1865,0001830374
1866,0001574540
1867,0001582961
1868,0001516513
1869,0001261333
1870,0001707303
1871,0001285973
